iter	RMSE
0	15.0124045
1	14.66691512
2	14.27767808
3	13.90160817
4	13.57431823
5	13.24196898
6	12.93567798
7	12.62373588
8	12.34673761
9	12.04730675
10	11.76426169
11	11.52183702
12	11.27963278
13	11.02181627
14	10.78116236
15	10.5536545
16	10.32949275
17	10.12864394
18	9.931759597
19	9.734854661
20	9.534853111
21	9.35198726
22	9.15613963
23	8.98500101
24	8.841448407
25	8.697175105
26	8.544844491
27	8.395275147
28	8.265449998
29	8.150156635
30	8.015684254
31	7.892959297
32	7.770827958
33	7.662595023
34	7.556255858
35	7.447380485
36	7.36345472
37	7.276138225
38	7.185502958
39	7.102665794
40	7.028238362
41	6.954708781
42	6.877113745
43	6.797486826
44	6.72291173
45	6.652791699
46	6.595769451
47	6.535978852
48	6.479337907
49	6.419279364
50	6.366744183
51	6.323230229
52	6.268624502
53	6.219774085
54	6.162010021
55	6.117222065
56	6.07003196
57	6.031264633
58	5.987275336
59	5.949270035
60	5.91001195
61	5.876084018
62	5.842819196
63	5.818593437
64	5.780864975
65	5.747402123
66	5.710938996
67	5.682111358
68	5.653423748
69	5.631022161
70	5.611312898
71	5.594161192
72	5.574689051
73	5.546960589
74	5.524729031
75	5.503836655
76	5.486263417
77	5.467871406
78	5.451456511
79	5.434411583
80	5.416920634
81	5.400250642
82	5.384076331
83	5.370256838
84	5.353339697
85	5.337677217
86	5.321755685
87	5.31073701
88	5.295435263
89	5.278014075
90	5.263437961
91	5.253062932
92	5.240767891
93	5.231016617
94	5.219625917
95	5.206472046
96	5.196401782
97	5.186218151
98	5.175820126
99	5.165046992
100	5.154774338
101	5.143043867
102	5.134214347
103	5.124814747
104	5.114783343
105	5.104059178
106	5.094136343
107	5.085325642
108	5.077250784
109	5.068295819
110	5.060141139
111	5.05359161
112	5.050118019
113	5.042693098
114	5.03587215
115	5.031303067
116	5.027094675
117	5.019313672
118	5.017157858
119	5.011272896
120	5.004409161
121	5.002159863
122	4.994930112
123	4.987187393
124	4.981261644
125	4.974638994
126	4.970461136
127	4.966172222
128	4.960359897
129	4.956426728
130	4.951170583
131	4.947471444
132	4.939592406
133	4.933645292
134	4.927307388
135	4.923485912
136	4.920563037
137	4.916490043
138	4.913287935
139	4.909406408
140	4.904983369
141	4.899880163
142	4.894234606
143	4.890852022
144	4.885683451
145	4.882147897
146	4.879295249
147	4.875174695
148	4.869902554
149	4.86555032
150	4.864379973
151	4.860243218
152	4.854508891
153	4.851640118
154	4.846026068
155	4.841235915
156	4.839109642
157	4.837404448
158	4.833579341
159	4.831407956
160	4.822869719
161	4.817107669
162	4.812493355
163	4.808785555
164	4.804083615
165	4.798143007
166	4.792674241
167	4.789144687
168	4.786738839
169	4.782708901
170	4.778302832
171	4.775705236
172	4.771547019
173	4.767003656
174	4.763758931
175	4.760153361
176	4.752337868
177	4.745802404
178	4.743598443
179	4.737168624
180	4.731749983
181	4.728641349
182	4.721513716
183	4.717748284
184	4.714353377
185	4.709393156
186	4.7059429
187	4.699217194
188	4.696531128
189	4.693242787
190	4.689334139
191	4.686719655
192	4.682390477
193	4.68067088
194	4.676719623
195	4.672990409
196	4.668571943
197	4.663872385
198	4.658326142
199	4.654370771
200	4.651406638
201	4.649271395
202	4.645603117
203	4.644308172
204	4.643270857
205	4.637404858
206	4.63245312
207	4.630175847
208	4.628097558
209	4.62512774
210	4.623311725
211	4.620315568
212	4.618182894
213	4.616437809
214	4.615405141
215	4.614376278
216	4.611507643
217	4.609308489
218	4.604806524
219	4.603224326
220	4.597738925
221	4.59636992
222	4.589226878
223	4.584822014
224	4.580970524
225	4.577515133
226	4.573516362
227	4.57135097
228	4.567909648
229	4.564929705
230	4.564767612
231	4.561237271
